time,Checkout1,Checkout2,Checkout3,Checkout4,Checkout5,Checkout6,Checkout7,Checkout8,Checkout9,Checkout10,Checkout11,Checkout12,Checkout13,Checkout14,Checkout15,Checkout16,Checkout17,Checkout18
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.176663795385586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.479194694329905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.756724384472188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12.568307082556046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16.87885690187155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
17.981984109334924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18.764501412078044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21.059787950948547,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21.688500841259486,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26.11322484273736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28.358673422904157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29.485362696076244,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34.35338664793692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38.32262290396656,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
39.30279482479404,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
39.88287050034963,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
53.86801744949657,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
55.2601643381719,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
60.07563532548295,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
78.66022511064217,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
82.00833486451286,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83.1705757159533,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86.0443263040829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
90.64330547083658,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
91.05519358409938,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
97.06326975433007,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
97.71870584846869,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
98.87105353447116,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
99.93796157879484,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
107.81953655524875,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
114.98204969321472,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
117.52630708569883,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0
125.03351792942985,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
126.11936401094476,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
133.67859016418134,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
134.27691492078654,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
135.674904933986,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
139.07577415918774,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
148.62836072365462,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
149.8631428250427,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
168.87370667710593,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
174.52251395815537,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
177.15979913732258,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
177.2603244274557,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
189.17463696588288,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
190.4498774860163,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
190.89411475127233,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
194.3324409765252,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
200.98158481235467,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
202.22123308388436,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
203.2806921060891,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
208.24177923760848,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
212.0636250660809,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
212.3812323473386,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
220.9228654022309,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
221.32584189023427,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
222.22915994536214,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
226.04008656336677,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
227.57316886785475,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
227.9462275545435,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
237.9912464330424,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
240.66408923508507,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
244.31772811177197,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
248.80762742387046,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
254.0749169124725,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
254.91396266102623,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
256.05471088349424,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
257.450597230925,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
263.9511777652959,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
270.8082982854902,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
272.5634186559797,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
280.05651140891774,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
281.85307341647166,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
282.62557404023175,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
284.2744369871605,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
284.6712991597864,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
288.8599865531204,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
289.175839551016,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
289.94978111454986,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
291.1931726903338,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
293.1064279518472,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
293.5508969484494,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
294.80702858927646,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
295.06785457350895,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
304.4412352983186,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
305.29902266928815,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
316.456101922065,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
320.5358860571547,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
321.7873613566907,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
322.5983703543843,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
322.99185665096326,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
327.17469035876366,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
331.2578572397958,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
334.61144639976544,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
337.95026458000075,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
342.50969544520365,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
346.40646868773825,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
346.7094958061162,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
362.60135419768875,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
364.94597788721325,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
365.1596385850558,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
